1.5755e+07	1.6225e+07
1.6435e+07	1.6895e+07
1.7405e+07	1.8585e+07
1.8755e+07	1.8955e+07
1.8985e+07	1.9295e+07
2.6265e+07	2.6755e+07
2.6765e+07	2.6975e+07
2.6985e+07	2.7245e+07
2.7255e+07	2.7545e+07
3.0415e+07	3.0775e+07
3.0825e+07	3.1225e+07
3.2215e+07	3.2465e+07
3.2475e+07	3.2975e+07
3.3245e+07	3.3635e+07
3.3775e+07	3.3955e+07
3.3975e+07	3.4195e+07
3.4215e+07	3.4565e+07
3.4575e+07	3.4845e+07
3.4855e+07	3.4965e+07
3.4975e+07	3.5265e+07
3.5275e+07	3.5725e+07
3.5735e+07	3.6045e+07
3.6295e+07	3.6775e+07
3.6815e+07	3.7195e+07
3.7495e+07	3.7745e+07
3.7975e+07	3.8305e+07
3.8455e+07	3.8935e+07
3.9085e+07	3.9495e+07
3.9515e+07	3.9725e+07
4.0085e+07	4.0515e+07
4.0545e+07	4.0815e+07
4.2605e+07	4.2835e+07
4.3005e+07	4.3195e+07
4.3235e+07	4.3535e+07
4.3545e+07	4.3715e+07
4.3725e+07	4.3885e+07
4.3995e+07	4.4255e+07
4.4315e+07	4.4535e+07
1.5925e+07	1.6115e+07
1.7405e+07	1.7705e+07
2.6265e+07	2.6415e+07
2.6795e+07	2.6875e+07
2.6885e+07	2.6935e+07
2.6985e+07	2.7105e+07
3.0565e+07	3.0725e+07
3.2475e+07	3.2575e+07
3.4345e+07	3.4495e+07
3.4575e+07	3.4695e+07
3.4705e+07	3.4815e+07
3.5295e+07	3.5445e+07
3.5865e+07	3.6005e+07
3.8615e+07	3.8835e+07
3.9595e+07	3.9705e+07
4.3585e+07	4.3675e+07
4.4395e+07	4.4525e+07
3.5885e+07	3.5955e+07
3.8745e+07	3.8835e+07
